release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release,log_price
2000-01-01,Air Jordan,Air Jordan 15 OG 'Dark Pine',men,3,White,Leather,Zoom Air,39,0,482.0,9254,6.1779441140506
2000-09-05,Air Jordan,Air Jordan 15 OG Low 'Black Silver',men,4,Black,Leather,Zoom Air,39,0,6558.0,9006,8.788440957404594
2000-01-01,Air Jordan,Air Jordan 15 OG 'Obsidian' 2000,men,4,Blue,Textile,Zoom Air,39,0,593.0,9254,6.385194398997726
2000-01-01,Nike,Shox BB4 OG 'Varsity Red' 2000,men,5,White,Unknown,Shox,39,0,305.0,9254,5.720311776607412
2001-09-15,Air Jordan,Air Jordan 3 Retro 'Mocha',men,3,White,Unknown,Air,39,0,82.0,8631,4.406719247264253
2001-12-22,Air Jordan,Air Jordan 11 Retro 'Bred' 2001,men,3,Black,Unknown,Air,39,0,597.0,8533,6.391917113392602
2001-02-17,Air Jordan,Air Jordan 16 OG 'Bred',men,3,Black,Leather,Zoom Air,39,0,1135.0,8841,7.034387929915503
2001-08-24,Air Jordan,Air Jordan 1 Retro 'Bred' 2001,men,3,Black,Leather,Air,39,0,643.0,8653,6.466144724237619
2001-11-17,Air Jordan,Air Jordan 3 Retro 'True Blue' 2001,men,3,White,Unknown,Air,39,0,417.0,8568,6.0330862217988015
2001-07-14,Air Jordan,Air Jordan 3 Retro 'Black Cement' 2001,men,3,Black,Unknown,Air,39,0,525.0,8694,6.263398262591624
2001-05-26,Air Jordan,Wmns Air Jordan 11 Retro Low 'Snakeskin' ,women,2,White,Unknown,Air,38,0,322.0,8743,5.7745515455444085
2001-04-14,Air Jordan,Air Jordan 11 Retro Low 'Cherry' 2001,men,3,White,Unknown,Air,39,0,415.0,8785,6.028278520230698
2001-11-24,Air Jordan,Air Jordan 16 OG 'Ginger',men,5,Yellow,Nubuck,Zoom Air,39,0,380.0,8561,5.940171252720432
2001-03-24,Air Jordan,Air Jordan 16 OG 'Midnight Navy',men,4,Blue,Leather,Zoom Air,39,0,560.0,8806,6.327936783729195
2001-08-24,Air Jordan,Air Jordan 1 Retro + 'Midnight Navy',men,4,White,Leather,Air,39,0,678.0,8653,6.519147287940395
2001-06-23,Air Jordan,Air Jordan 11 Retro Low 'White Light Zen Grey',men,4,White,Unknown,Air,39,0,482.0,8715,6.1779441140506
2001-03-03,Air Jordan,Air Jordan 11 Retro 'Cool Grey' 2001,men,4,Grey,Unknown,Air,39,0,546.0,8827,6.302618975744905
2001-06-02,Air Jordan,Air Jordan 16 OG 'Cherrywood',men,4,White,Leather,Zoom Air,39,0,358.0,8736,5.8805329864007
2001-04-14,Air Jordan,Air Jordan 11 Retro Low 'Columbia' 2001,men,3,White,Unknown,Air,39,0,466.0,8785,6.144185634125646
2001-09-08,Air Jordan,Air Jordan 1 Retro High CO.JP 'Midnight Navy' 2001,men,5,Blue,Leather,Air,39,0,623.0,8638,6.434546518787453
2001-04-14,Air Jordan,Wmns Air Jordan 11 Retro Low 'Metallic' 2001,women,3,White,Unknown,Air,38,0,374.0,8785,5.924255797414532
2001-01-17,Air Jordan,Air Jordan 11 Retro 'Columbia' 2001,men,3,White,Unknown,Air,39,0,286.0,8872,5.655991810819852
2001-05-26,Air Jordan,Air Jordan 11 Retro Low 'Snakeskin',men,2,White,Unknown,Air,39,0,457.0,8743,6.124683390894205
