url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/air-jordan-1-mid-unc-554724-106,2013-01-22,Air Jordan,Air Jordan 1 Mid 'UNC',men,3,White,Leather,Air,39,0,260.0,4484
https://www.goat.com/sneakers/kd-6-maryland-blue-crab-599424-400,2013-11-29,Nike,KD 6 'Maryland Blue Crab',men,7,Blue,,Air,39,0,1635.0,4173
https://www.goat.com/sneakers/air-jordan-1-retro-joker-136065-021,2013-02-16,Air Jordan,Air Jordan 1 Retro 'Joker',men,5,Purple,Leather,Air,39,0,588.0,4459
https://www.goat.com/sneakers/kobe-8-system-pit-viper-555035-502,2013-10-05,Nike,Kobe 8 'Pit Viper',men,6,Purple,Mesh,Lunarlon,39,0,827.0,4228
https://www.goat.com/sneakers/kobe-8-system-555035-401,2013-06-29,Nike,Kobe 8 'Blitz Blue',men,8,Blue,Mesh,Lunarlon,39,0,2149.0,4326
https://www.goat.com/sneakers/lebron-11-christmas-616175-301,2013-12-26,Nike,LeBron 11 'Christmas',men,5,Green,,Lunarlon,39,0,401.0,4146
https://www.goat.com/sneakers/fly-knit-racer-526628-101,2013-06-21,Nike,Flyknit Racer 'Oreo 1.0',men,2,White,,Phylon,39,0,5686.0,4334
https://www.goat.com/sneakers/air-jordan-28-red-camo-584832-601,2013-03-02,Air Jordan,Air Jordan 28 'Color Pack - Red Camo',men,3,Red,Synthetic,Zoom Air,39,1,537.0,4445
https://www.goat.com/sneakers/air-jordan-1-retro-89-599873-003,2013-09-21,Air Jordan,Air Jordan 1 Retro 89 'Black Fire Red Cement',men,4,Black,Leather,Air,39,0,334.0,4242
https://www.goat.com/sneakers/air-yeezy-2-sp-red-october-508214-660,2014-02-09,Nike,Air Yeezy 2 SP 'Red October',men,1,Red,Leather,Air,39,1,13312.0,4101
https://www.goat.com/sneakers/air-force-1-ac-br-qs-gradient-pack-polarized-blue-694861-400,2014-07-25,Nike,Air Force 1 AC BR QS 'Gradient Pack - Polarized Blue',men,3,Blue,Canvas,Air,39,0,52.0,3935
https://www.goat.com/sneakers/lebron-12-dunkman-684593-001,2014-11-11,Nike,LeBron 12 'Dunkman',men,5,Grey,,Air,39,0,2857.0,3826
