url,release_date,brand_name,model,gender,len_colorway,main_color,upper_material,technology,len_size,unique,price,days_since_release
https://www.goat.com/sneakers/wmns-initiator-soft-pearl-clay-green-ih0579-012,2025-04-20,Nike,Wmns Initiator 'Soft Pearl Clay Green',women,10,Cream,Mesh,,38,0,158.0,15
https://www.goat.com/sneakers/wmns-gazelle-stack-green-cream-gum-jr8179,2025-01-07,adidas,Wmns Gazelle Stack 'Green Cream Gum',women,5,Green,Suede,EVA,26,0,167.0,118
https://www.goat.com/sneakers/wmns-tazz-slipper-love-25-pack-tropical-pink-1172130-tpcl,2025-01-16,UGG,Wmns Tazz Slipper 'Love '25 Pack - Tropical Pink',women,2,Pink,Suede,EVA,8,0,195.0,109
https://www.goat.com/sneakers/wmns-handball-spezial-lucid-pink-gum-ji2654,2025-02-08,adidas,Wmns Handball Spezial 'Lucid Pink Gum',women,6,Pink,Suede,,26,0,112.0,86
https://www.goat.com/sneakers/liberty-london-x-wmns-gazelle-indoor-floral-embroidery-off-white-jh7370,2025-03-17,adidas,Liberty London x Wmns Gazelle Indoor 'Floral Embroidery - Off White',women,5,Cream,Leather,,26,0,167.0,49
https://www.goat.com/sneakers/wmns-handball-spezial-lt-lucid-blue-black-jh5602,2025-03-16,adidas,Wmns Handball Spezial LT 'Lucid Blue Black',women,6,Blue,Leather,,26,0,162.0,50
https://www.goat.com/sneakers/wmns-air-jordan-3-retro-valentine-s-day-hj0178-600,2025-02-01,Air Jordan,Wmns Air Jordan 3 Retro 'Treat Yourself',women,5,Pink,Leather,Air,15,0,166.0,93
https://www.goat.com/sneakers/wmns-taekwondo-mei-ballet-black-white-gum-jr7031,2025-03-15,adidas,Wmns Taekwondo Mei Ballet 'Black White Gum',women,5,Black,Leather,,26,0,119.0,51
https://www.goat.com/sneakers/wmns-handball-spezial-black-violet-tone-js2909,2025-01-31,adidas,Wmns Handball Spezial 'Black Violet Tone',women,5,Black,Suede,,26,0,121.0,94
https://www.goat.com/sneakers/wmns-air-jordan-4-retro-aluminum-hv0823-100,2025-05-03,Air Jordan,Wmns Air Jordan 4 Retro 'Forget Me Not',women,6,White,Leather,Air,15,0,212.0,2
https://www.goat.com/sneakers/gel-1130-neon-pack-pink-1202a525-700,2025-04-04,ASICS,Wmns Gel 1130 'Neon Pack - Pink',women,0,Pink,Mesh,Gel,20,0,230.0,31
https://www.goat.com/sneakers/wmns-taekwondo-clear-pink-satin-jq8209,2025-04-01,adidas,Wmns Taekwondo 'Clear Pink Satin',women,5,Pink,Satin,,26,0,140.0,34
https://www.goat.com/sneakers/wmns-speedcat-ballet-metallic-silver-401581-01,2025-03-01,Puma,Wmns Speedcat Ballet 'Metallic - Silver',women,2,Silver,Leather,,24,0,105.0,65
https://www.goat.com/sneakers/wmns-gazelle-bold-clear-mint-lucid-blue-satin-ji2702,2025-02-02,adidas,Wmns Gazelle Bold 'Clear Mint Lucid Blue Satin',women,6,Green,Satin,,26,0,144.0,92
https://www.goat.com/sneakers/wmns-mexico-66-tgrs-crystal-pink-1182a678-700,2025-03-20,Onitsuka Tiger,Wmns Mexico 66 TGRS 'Crystal Pink',women,4,Pink,Leather,,23,0,309.0,46
https://www.goat.com/sneakers/wmns-dunk-low-mushroom-ib8876-661,2025-05-01,Nike,Wmns Dunk Low LX 'Mushroom',women,7,Pink,Leather,,38,0,144.0,4
